id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
899969053793178124,Home in Antwerpen · 3 bedrooms · 2 beds · 1.5 baths,4218557,Anke,,Donk,51.27941,4.43392,Entire home/apt,89,20,0,,,2,11,0,
900860425617141698,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,516877986,Robin,,Tuinwijk,51.25621543910404,4.4424327229386495,Entire home/apt,75,1,0,,,1,364,0,
901129454849626834,Rental unit in Antwerpen · ★4.82 · 1 bedroom · 2 beds · 1.5 baths,182436482,Daan,,Historisch Centrum,51.22324,4.40535,Entire home/apt,98,2,22,2023-09-10,5.89,4,244,22,
901160903436846640,Rental unit in Antwerpen · ★4.33 · 2 bedrooms · 4 beds · 1.5 baths,317037207,Elisa,,Theaterbuurt-Meir,51.2191821,4.4081792,Entire home/apt,56,1,3,2023-09-03,1.00,61,340,3,
901199590041070638,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 4 beds · 2 baths,5274056,Sonia,,Tentoonstellingswijk,51.19132,4.39039,Entire home/apt,110,2,6,2023-09-18,1.86,1,323,6,
901336974075044307,Home in Antwerpen · ★4.83 · 1 bedroom · 1 bed · 1 bath,488063496,Jo,,Sint-Andries,51.2131454,4.3948501,Entire home/apt,80,2,6,2023-09-17,3.33,1,73,6,
901892327490451568,Rental unit in Antwerpen · ★4.80 · 1 bedroom · 1 bed · 1 bath,147223529,Aude,,Nieuw - Kwartier West,51.188333,4.426704,Entire home/apt,85,3,5,2023-09-15,1.43,1,247,5,
902138285112252725,Rental unit in Antwerpen · ★4.40 · 1 bedroom · 1 bed · 1 bath,182436482,Daan,,Universiteitsbuurt,51.22454762383879,4.408988335581956,Entire home/apt,66,2,20,2023-09-07,5.45,4,250,20,
902700884421802119,Home in Antwerpen · 1 bedroom · 1 bed · 3 baths,508491497,House Of Co,,Amandus - Atheneum,51.22414,4.42073,Private room,28,90,0,,,29,364,0,
902713920984638776,Home in Antwerpen · 1 bedroom · 1 bed · 3 baths,508491497,House Of Co,,Amandus - Atheneum,51.22348,4.4204,Private room,28,90,0,,,29,364,0,
902724582542503670,Home in Antwerpen · 1 bedroom · 1 bed · 3 baths,508491497,House Of Co,,Amandus - Atheneum,51.22369,4.41927,Private room,27,90,0,,,29,195,0,
902730074647205977,Home in Antwerpen · 1 bedroom · 1 bed · 3 baths,508491497,House Of Co,,Amandus - Atheneum,51.22351,4.42037,Private room,28,90,0,,,29,364,0,
902737635918616652,Home in Antwerpen · 1 bedroom · 1 bed · 3 baths,508491497,House Of Co,,Amandus - Atheneum,51.22338,4.41883,Private room,28,90,0,,,29,364,0,
902746091208542371,Home in Antwerpen · 1 bedroom · 1 bed · 3 baths,508491497,House Of Co,,Amandus - Atheneum,51.22277,4.41882,Private room,29,90,0,,,29,364,0,
902800189045823052,Home in Antwerpen · 1 bedroom · 1 bed · 2 baths,508491497,House Of Co,,Stuivenberg,51.2278784,4.4342125,Private room,24,90,0,,,29,364,0,
902871601592968696,Home in Antwerpen · 10 bedrooms · 10 beds · 3 baths,496406662,Ekaterina,,Haringrode,51.2016,4.41757,Entire home/apt,250,14,0,,,15,364,0,
902955730490672987,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,44831213,Dioni,,Linkeroever,51.219304799168675,4.382199211639395,Entire home/apt,120,2,6,2023-08-20,1.71,1,69,6,
903410244888282766,Rental unit in Antwerpen · 1 bedroom · 4 beds · 1 bath,165436938,Luca,,Historisch Centrum,51.224,4.40034,Entire home/apt,56,1,1,2023-07-18,0.44,90,0,1,
903461470035114076,Home in Antwerpen · 1 bedroom · 1 bed · 2 baths,508491497,House Of Co,,Stuivenberg,51.2278784,4.4342125,Private room,22,90,0,,,29,364,0,
903465344425398169,Home in Antwerpen · 1 bedroom · 1 bed · 2 baths,508491497,House Of Co,,Stuivenberg,51.2278784,4.4342125,Private room,22,90,0,,,29,364,0,
903469264664975728,Home in Antwerpen · 1 bedroom · 1 bed · 2 baths,508491497,House Of Co,,Stuivenberg,51.2278784,4.4342125,Private room,23,90,0,,,29,364,0,
903472911805115706,Home in Antwerpen · 1 bedroom · 1 bed · 2 baths,508491497,House Of Co,,Stuivenberg,51.2278784,4.4342125,Private room,23,90,0,,,29,364,0,
903474993331249262,Home in Antwerpen · 1 bedroom · 1 bed · 2 baths,508491497,House Of Co,,Stuivenberg,51.2278784,4.4342125,Private room,23,90,0,,,29,364,0,
903477582618229535,Home in Antwerpen · 1 bedroom · 1 bed · 2 baths,508491497,House Of Co,,Stuivenberg,51.22693,4.43468,Private room,23,90,0,,,29,327,0,
